Window Length,# Factors (decomposition),Event Timestamp,Event activity score
12,3,2,24
12,3,10,74
12,3,11,83
12,3,34,75
12,3,35,52
12,3,38,101
12,3,56,159
12,3,59,83
12,3,60,77
12,3,64,113
12,3,83,91
12,3,84,93
12,3,86,95
12,3,87,79
12,3,105,76
12,3,106,63
12,3,113,81
12,3,116,81
12,3,127,95
12,3,128,117
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
12,5,2,48
12,5,10,65
12,5,11,104
12,5,16,84
12,5,15,72
12,5,17,86
12,5,34,64
12,5,27,7
12,5,35,81
12,5,31,51
12,5,38,83
12,5,56,130
12,5,51,51
12,5,59,51
12,5,58,84
12,5,60,94
12,5,64,57
12,5,83,73
12,5,82,79
12,5,81,68
12,5,84,87
12,5,87,84
12,5,86,99
12,5,106,86
12,5,107,121
12,5,116,29
12,5,112,107
12,5,110,61
12,5,111,65
12,5,127,90
12,5,128,157
12,5,135,39
12,5,137,93
12,5,133,87
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
12,6,2,48
12,6,10,59
12,6,11,103
12,6,6,114
12,6,9,118
12,6,13,73
12,6,16,88
12,6,15,76
12,6,17,87
12,6,34,62
12,6,32,110
12,6,35,86
12,6,31,49
12,6,38,104
12,6,37,75
12,6,42,63
12,6,56,123
12,6,51,4
12,6,59,98
12,6,58,96
12,6,60,80
12,6,64,56
12,6,83,103
12,6,82,60
12,6,81,69
12,6,84,76
12,6,87,76
12,6,86,99
12,6,85,71
12,6,105,59
12,6,106,136
12,6,107,65
12,6,113,43
12,6,116,43
12,6,112,98
12,6,110,63
12,6,111,66
12,6,127,90
12,6,128,157
12,6,135,39
12,6,137,96
12,6,133,80
12,6,134,84
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
24,3,13,130
24,3,15,140
24,3,12,98
24,3,16,120
24,3,17,107
24,3,38,135
24,3,59,100
24,3,60,117
24,3,56,124
24,3,83,72
24,3,85,93
24,3,87,104
24,3,84,96
24,3,86,77
24,3,104,60
24,3,108,71
24,3,113,51
24,3,118,58
24,3,127,137
24,3,128,137
24,3,137,135
